ISO Week,src,src_humans
2014-51,1540,1540
2014-52,419,419
2015-01,289,289
2015-02,1459,1459
2015-03,1391,1391
2015-04,1297,1297
2015-05,1381,1381
2015-06,1584,1584
2015-07,1557,1557
2015-08,1510,1510
2015-09,1524,1524
2015-10,1322,1322
2015-11,1460,1460
2015-12,1451,1451
2015-13,1390,1390
2015-14,1570,1570
2015-15,1330,1330
2015-16,1335,1335
2015-17,1656,1656
2015-18,1452,1452
2015-19,1302,1302
2015-20,1476,1476
2015-21,1299,1299
2015-22,1239,1239
2015-23,1489,1489
2015-24,1547,1547
2015-25,1545,1545
2015-26,1453,1453
2015-27,1158,1158
2015-28,1550,1550
2015-29,1323,1323
2015-30,1306,1306
2015-31,1412,1412
2015-32,1442,1442
2015-33,1412,1412
2015-34,1793,1793
2015-35,1705,1705
2015-36,1616,1616
2015-37,1262,1262
2015-38,1689,1689
2015-39,1206,1206
2015-40,1270,1270
2015-41,1189,1189
2015-42,1251,1251
2015-43,1282,1282
2015-44,1314,1314
2015-45,1249,1249
2015-46,1240,1240
2015-47,1268,1268
2015-48,1039,1039
2015-49,1310,1310
2015-50,1576,1576
2015-51,1367,1367
2015-52,617,617
2015-53,337,337
2016-01,1240,1240
2016-02,1458,1458
2016-03,1210,1210
2016-04,1418,1418
2016-05,1479,1479
2016-06,1324,1324
2016-07,1285,1285
2016-08,1481,1481
2016-09,1354,1354
2016-10,1416,1416
2016-11,1305,1305
2016-12,1238,1238
2016-13,1377,1377
2016-14,1484,1484
2016-15,1524,1524
2016-16,1557,1557
2016-17,1475,1475
2016-18,1391,1391
2016-19,1511,1511
2016-20,1492,1492
2016-21,1399,1399
2016-22,1298,1298
2016-23,1424,1424
2016-24,1217,1217
2016-25,1498,1498
2016-26,1520,1520
2016-27,963,963
2016-28,1354,1354
2016-29,1459,1459
2016-30,1502,1502
2016-31,1390,1390
2016-32,1637,1637
2016-33,1470,1470
2016-34,1567,1567
2016-35,1531,1531
2016-36,1371,1371
2016-37,1535,1535
2016-38,1457,1457
2016-39,1508,1508
2016-40,1738,1738
2016-41,1509,1509
2016-42,1398,1398
2016-43,1640,1640
2016-44,1572,1572
2016-45,1605,1605
2016-46,1653,1653
2016-47,1120,1120
2016-48,1629,1629
2016-49,1588,1588
2016-50,1598,1598
2016-51,1267,1267
2016-52,357,357
2017-01,1160,1160
2017-02,1655,1655
2017-03,1482,1482
2017-04,1633,1633
2017-05,1259,1259
2017-06,1705,1705
2017-07,1665,1665
2017-08,1591,1591
2017-09,1673,1673
2017-10,1490,1490
2017-11,1688,1688
2017-12,1700,1700
2017-13,1671,1670
2017-14,1803,1800
2017-15,1725,1721
2017-16,1687,1684
2017-17,1711,1707
2017-18,1611,1610
2017-19,1787,1786
2017-20,1838,1837
2017-21,1801,1801
2017-22,1656,1656
